Line#,Date,"Gust Speed (S-WCA 9858867:9845198-2), m/s, Meyerson Roof","Battery (U30 BATTERY 9858867:9858867-B), V, Meyerson Roof","Dew Point (S-THB 9858867:9835118-3), *C, Meyerson Roof","RH (S-THB 9858867:9835118-2), %, Meyerson Roof","Temperature (S-THB 9858867:9835118-1), *C, Meyerson Roof","Solar Radiation (S-LIB 9858867:9841958-1), W/m^2, Meyerson Roof","Wind Direction (S-WCA 9858867:9845198-3), *, Meyerson Roof","Wind Speed (S-WCA 9858867:9845198-1), m/s, Meyerson Roof"
1,10/31/2016 17:35,3.5,4.51,2.44,51.5,12.12,526,0,0.6
2,10/31/2016 17:40,1.5,4.51,2.7,50.5,12.7,519,0,0
3,10/31/2016 17:45,2.6,4.53,2.96,48.7,13.55,516,0,0.2
4,10/31/2016 17:50,2.2,4.53,2.97,48.5,13.62,509,0,0.2
5,10/31/2016 17:55,2.4,4.53,2.64,47.9,13.45,453,0,0.4
6,10/31/2016 18:00,3.7,4.53,1.38,46.1,12.65,486,0,0.9
7,10/31/2016 18:05,0.9,4.53,1.69,44.6,13.5,491,0,0
8,10/31/2016 18:10,2.8,4.53,2.06,47.2,13.04,437,0,0.2
9,10/31/2016 18:15,2,4.53,2.94,48,13.74,442,0,0
10,10/31/2016 18:20,3.9,4.53,2.51,48.8,13.02,431,0,0.9
11,10/31/2016 18:25,2.8,4.53,2.61,48.7,13.16,416,0,0.6
12,10/31/2016 18:30,5,4.47,2.43,47.1,13.47,438,0,0.4
13,10/31/2016 18:35,3.7,4.51,2.58,47.3,13.57,424,0,0.6
14,10/31/2016 18:40,3.5,4.53,2.47,45.8,13.95,418,0,0.2
15,10/31/2016 18:45,4.1,4.53,2.54,46.9,13.67,414,0,0.2
16,10/31/2016 18:50,3.5,4.53,2.19,46.6,13.38,388,0,0.4
17,10/31/2016 18:55,2,4.53,2.56,47.7,13.43,368,0,0.2
18,10/31/2016 19:00,5.6,4.53,2.41,46.9,13.52,398,0,0.4
19,10/31/2016 19:05,2.6,4.53,2.15,45.6,13.67,391,0,0.2
20,10/31/2016 19:10,3.3,4.53,2,42.2,14.7,376,0,0.2
21,10/31/2016 19:15,0,4.53,2.4,42.9,14.89,371,0,0
22,10/31/2016 19:20,2,4.53,1.79,45.3,13.38,304,0,0.2
23,10/31/2016 19:25,2.6,4.53,2.16,46.2,13.47,317,0,0.4
24,10/31/2016 19:30,3.2,4.46,2.03,45.3,13.64,301,0,0.4
25,10/31/2016 19:35,0.9,4.53,2.09,45.2,13.74,252,0,0
26,10/31/2016 19:40,0.7,4.53,2.54,46.6,13.76,261,0,0
27,10/31/2016 19:45,3.5,4.53,3.05,46.1,14.48,268,0,0.2
28,10/31/2016 19:50,2.6,4.54,3.09,44.9,14.94,251,0,0.2
29,10/31/2016 19:55,3.9,4.54,2.67,43.4,15.01,261,0,0.4
30,10/31/2016 20:00,1.3,4.54,3.24,44.7,15.17,268,0,0
31,10/31/2016 20:05,0.6,4.54,2.51,42.7,15.08,263,0,0
32,10/31/2016 20:10,0.9,4.54,2.02,40.8,15.25,259,0,0
33,10/31/2016 20:15,3.9,4.53,2.02,43.2,14.36,246,0,0.6
34,10/31/2016 20:20,1.5,4.54,1.96,42.6,14.51,217,0,0
35,10/31/2016 20:25,2.6,4.54,2.03,45.2,13.67,158,0,0.2
36,10/31/2016 20:30,1.3,4.48,1.68,41.7,14.53,181,0,0
37,10/31/2016 20:35,2.2,4.53,1.76,43,14.15,194,0,0
38,10/31/2016 20:40,2,4.54,1.87,42.2,14.55,184,0,0
39,10/31/2016 20:45,0,4.54,2,42.2,14.7,156,0,0
40,10/31/2016 20:50,0,4.54,1.9,45.3,13.5,101,0,0
41,10/31/2016 20:55,0,4.54,2.21,47.4,13.14,82,0,0
42,10/31/2016 21:00,0.2,4.54,2.08,49.1,12.46,53,0,0
43,10/31/2016 21:05,0,4.54,2.25,50,12.36,43,0,0
44,10/31/2016 21:10,0.7,4.54,2.14,50.1,12.22,34,0,0
45,10/31/2016 21:15,0.6,4.54,2.21,50.5,12.17,24,0,0
46,10/31/2016 21:20,0,4.54,2.41,51.8,12,17,0,0
47,10/31/2016 21:25,0,4.54,2.34,52.3,11.78,12,0,0
48,10/31/2016 21:30,0,4.44,2.61,53.9,11.61,4,0,0
49,10/31/2016 21:35,0,4.45,2.38,52.8,11.69,1,0,0
50,10/31/2016 21:40,0,4.45,2.38,52.6,11.73,1,0,0
51,10/31/2016 21:45,0.2,4.44,2.49,53.8,11.52,1,0,0
52,10/31/2016 21:50,0.6,4.44,2.36,53.4,11.49,1,0,0
53,10/31/2016 21:55,0,4.44,2.32,54.1,11.25,1,0,0
54,10/31/2016 22:00,1.1,4.45,2.39,54.2,11.3,1,0,0
55,10/31/2016 22:05,0,4.43,2.25,53.4,11.37,1,0,0
56,10/31/2016 22:10,0,4.43,2.37,54.4,11.22,1,0,0
57,10/31/2016 22:15,0.2,4.43,2.45,54.8,11.2,1,0,0
58,10/31/2016 22:20,0,4.42,2.31,53.8,11.32,1,0,0
59,10/31/2016 22:25,0,4.42,2.25,53.3,11.39,1,0,0
60,10/31/2016 22:30,0,4.38,2.23,55.8,10.69,1,0,0
61,10/31/2016 22:35,0,4.39,2.26,56,10.66,1,0,0
62,10/31/2016 22:40,0,4.39,2.37,55.8,10.83,1,0,0
63,10/31/2016 22:45,0.4,4.39,2.18,53.3,11.32,1,0,0
64,10/31/2016 22:50,0,4.39,2.52,56.4,10.83,1,0,0
65,10/31/2016 22:55,0.4,4.39,2.42,55.2,11.05,1,0,0
66,10/31/2016 23:00,0,4.39,2.41,54.7,11.18,1,0,0
